id,text,clean_text,will_labels,ty_labels,will_binary_label,ty_binary_label
1080,Luckily for us all Dr Latour does not have that false modesty that afflicts so many Englishmen brought up in Public Schools to play cricket. His American lack of modesty is entirely refreshing I would have said music to my ears but that would be to mix metaphors.,Luckily for us all Dr Latour does not have that false modesty that afflicts so many Englishmen brought up in Public Schools to play cricket. His American lack of modesty is entirely refreshing I would have said music to my ears but that would be to mix metaphors.,['0'],['0'],0,0
1709,So let me declare now that in no way would I want to upset those who have worked for years in the climate Skeptic cause. However we have to admit that we have made scarcely a dent on the public mind on the public conception.,So let me declare now that in no way would I want to upset those who have worked for years in the climate Skeptic cause. However we have to admit that we have made scarcely a dent on the public mind on the public conception.,['5.1.1'],['0'],2,0
951,The blue and red are warmer and the green and tan are cooler. Uncolored is the same as the 30 year average.,The blue and red are warmer and the green and tan are cooler. Uncolored is the same as the 30 year average.,['0'],['0'],0,0
450,> >> >>Attachment Converted: c:\eudora\attach\climatic variability,> >> >>Attachment Converted: c:\eudora\attach\climatic variability,['0'],['0'],0,0
1108,"“Nature Positive” and the mission to halt and reverse biodiversity loss by 2030 is currently in the text with various options and for the most part, strongly supported. TNC believes that nothing less than this level of ambition is required to clearly signal direction of travel for the entire framework.","“Nature Positive” and the mission to halt and reverse biodiversity loss by 2030 is currently in the text with various options and for the most part, strongly supported. TNC believes that nothing less than this level of ambition is required to clearly signal direction of travel for the entire framework.",['0'],['0'],0,0
619,"Grow Solar Linn County hosted Solar Power Hours in 19 different locations and drew in almost 400 attendees. They wrapped up the program with 98 properties achieving 780.56 kW of new solar to be installed on properties. In the first year of operation, the solar arrays installed will offset emissions equivalent to 724,118 lbs of coal burned and will save an estimated $126,450 in electric bills. This marks the second group buy program in the area, the first being Solarize Cedar Rapids & Linn County in 2017. The 2019 program has built upon the previous programs success, with nearly 1,380 kW of solar installed through the group buy programs and have helped 200 properties add solar.","Grow Solar Linn County hosted Solar Power Hours in 19 different locations and drew in almost 400 attendees. They wrapped up the program with 98 properties achieving 780.56 kW of new solar to be installed on properties. In the first year of operation, the solar arrays installed will offset emissions equivalent to 724,118 lbs of coal burned and will save an estimated $126,450 in electric bills. This marks the second group buy program in the area, the first being Solarize Cedar Rapids & Linn County in 2017. The 2019 program has built upon the previous programs success, with nearly 1,380 kW of solar installed through the group buy programs and have helped 200 properties add solar.",['0'],['0'],0,0
1547,"This is the same obsessive, deranged, mental illness the AGW cultists have.","This is the same obsessive, deranged, mental illness the AGW cultists have.",['0'],['0'],0,0
1267,"But those who run for office on that back of that anger and frustration, by denying problems and rejecting solutions – they are a different breed.","But those who run for office on that back of that anger and frustration, by denying problems and rejecting solutions – they are a different breed.",['0'],['0'],0,0
644,"Chapter 3, by Robert C. Balling, Jr.Global Warming: Messy Models, Decent Data, and Pointless Policy","Chapter 3, by Robert C. Balling, Jr.Global Warming: Messy Models, Decent Data, and Pointless Policy",['5.1.4'],"['4.2', '5.1.4']",2,2
1717,The case was widely followed because rooftop solar has grown rapidly in Arizona in recent years. Arizona Public Service started the dispute earlier this year by requesting approval to raise its monthly charge to rooftop solar owners by an average charge of $50 per month. The regulators approved an average charge of roughly $5 per month.,The case was widely followed because rooftop solar has grown rapidly in Arizona in recent years. Arizona Public Service started the dispute earlier this year by requesting approval to raise its monthly charge to rooftop solar owners by an average charge of $50 per month. The regulators approved an average charge of roughly $5 per month.,['0'],['0'],0,0
203,"Three ships with icebreaking capability have responded, including the Australian Antarctic Division (AAD) vessel Aurora Australis, and are now en route to the area.","Three ships with icebreaking capability have responded, including the Australian Antarctic Division (AAD) vessel Aurora Australis, and are now en route to the area.",['0'],['0'],0,0
1373,"From CEI: Senior Fellow Marlo Lewis, Jr. on why adopting watered down versions of the Kyoto Protocol is just as foolish as embracing the treaty itself, plus how we got from Kyoto to here.","From CEI: Senior Fellow Marlo Lewis, Jr. on why adopting watered down versions of the Kyoto Protocol is just as foolish as embracing the treaty itself, plus how we got from Kyoto to here.",['4.1'],['0'],1,0
1144,"When called out for his lying, look how he responded. No apology or regret, he simply shifts to a different mindless attack. These are the peoplewho are currently running this country.","When called out for his lying, look how he responded. No apology or regret, he simply shifts to a different mindless attack. These are the peoplewho are currently running this country.",['0'],['0'],0,0
1372,"For the past several years, MD/DC Conservation Steward Gabe Cahalan has been conducting an acoustic monitoring study on two TNC preserves in Maryland, comparing biodiversity in forests we have kept open with controlled burns to overgrown forests where fire has been suppressed by measuring the “bio-acoustic index” of each forest type.","For the past several years, MD/DC Conservation Steward Gabe Cahalan has been conducting an acoustic monitoring study on two TNC preserves in Maryland, comparing biodiversity in forests we have kept open with controlled burns to overgrown forests where fire has been suppressed by measuring the “bio-acoustic index” of each forest type.",['0'],['0'],0,0
8,"The operative word is ""empower,"" which is the purpose of the Assessment. It is to provide cover for a massive regulatory intrusion, and concomitant enormous costs in resources and individual liberty. History tells us that when scientists willingly endorse sweeping governmental agendas fueled by dodgy science, bad things soon happen. To borrow the meter of Winston Churchill:","The operative word is ""empower,"" which is the purpose of the Assessment. It is to provide cover for a massive regulatory intrusion, and concomitant enormous costs in resources and individual liberty. History tells us that when scientists willingly endorse sweeping governmental agendas fueled by dodgy science, bad things soon happen. To borrow the meter of Winston Churchill:",['5.1'],['4.1.1'],2,1
570,"A book that raised hackles and experienced personal attacks from the environmentalists was Bjorn Lomborg?s The Skeptical Environmentalist. UN IPCC chief, Rajendra Pachauri, compared him to Hitler. It is typical of Pachauri?s lack of understanding and undiplomatic reactions, but he wasn?t alone. Almost everyone, including most skeptics, misunderstood what Lomborg was saying, especially about climate. People on both sides of the climate issue were fooled by Lomborg?s use of ?skeptic? in his title. Too many people designated climate skeptics by the warming alarmists and those questioning extreme environmentalism were desperate for a public relations victory.","A book that raised hackles and experienced personal attacks from the environmentalists was Bjorn Lomborg's The Skeptical Environmentalist. UN IPCC chief, Rajendra Pachauri, compared him to Hitler. It is typical of Pachauri's lack of understanding and undiplomatic reactions, but he wasn't alone. Almost everyone, including most skeptics, misunderstood what Lomborg was saying, especially about climate. People on both sides of the climate issue were fooled by Lomborg's use of ?skeptic? in his title. Too many people designated climate skeptics by the warming alarmists and those questioning extreme environmentalism were desperate for a public relations victory.","['5.2.3', '5.2.4']","['5.2.2', '5.2.3']",2,2
1986,From banning supersize drinks to banning supersize storms?,From banning supersize drinks to banning supersize storms?,['0'],['0'],0,0
466,"Antarctica has a record amount of ice this year, and has been above normal for almost 500 consecutive days. A perfect time for Huffington Post to declare the continent to be without ice","Antarctica has a record amount of ice this year, and has been above normal for almost 500 consecutive days. A perfect time for Huffington Post to declare the continent to be without ice",['1.1.1'],['1.1.1'],2,2
454,The Courier-Mail Monday 6 May 1940,The Courier-Mail Monday 6 May 1940,['0'],['0'],0,0
1653,"The Minoan Warming period had temperatures that possibly exceeded current temperatures by 1C, in spite of lower CO2 levels.","The Minoan Warming period had temperatures that possibly exceeded current temperatures by 1C, in spite of lower CO2 levels.",['2.1.4'],['2.1.4'],2,2
1052,Who knows? Maybe even Sarah Jessica Parker will someday come around. Even if her relatives do lose their government aid.,Who knows? Maybe even Sarah Jessica Parker will someday come around. Even if her relatives do lose their government aid.,['0'],['0'],0,0
1007,"So the Congressman had asked me to write proving my result, and I had done so by preparing the second graph, from Tom Karl's own NCDC (it was labeled as such), which had also showed a pronounced downtrend in global temperatures.","So the Congressman had asked me to write proving my result, and I had done so by preparing the second graph, from Tom Karl's own NCDC (it was labeled as such), which had also showed a pronounced downtrend in global temperatures.",['1.4'],['1.4'],2,2
2029,"The mere use of the word scientist in an argument does not make an argument scientific. That is a political argument, not a scientific one. To illustrate, imagine a scientist comes up with a new theory that goes against everything we have held to be true. For the sake of the argument, assume that the theory - as revolutionary as it is - ends up being correct. At the moment the theory is first put forth, it is likely that almost all of the scientists in the world will doubt that it is true. It will take a lot of data to prove the theory and only then will minds be changed. So, if you take a vote of the scientists early in this process, it will overwhelmingly be against the theory (even though the theory ends up being correct in the end). The vote isn't science. The examination of the data by open minded skeptics is what is important here.","The mere use of the word scientist in an argument does not make an argument scientific. That is a political argument, not a scientific one. To illustrate, imagine a scientist comes up with a new theory that goes against everything we have held to be true. For the sake of the argument, assume that the theory - as revolutionary as it is - ends up being correct. At the moment the theory is first put forth, it is likely that almost all of the scientists in the world will doubt that it is true. It will take a lot of data to prove the theory and only then will minds be changed. So, if you take a vote of the scientists early in this process, it will overwhelmingly be against the theory (even though the theory ends up being correct in the end). The vote isn't science. The examination of the data by open minded skeptics is what is important here.","['5.1.1', '5.2.5']",['5.2.5'],2,2
597,"It has been an exciting and eventful year at The Talkshop. This is reflected in the site stats, which show strong increases in traffic, especially around the Lisbon conference back in January , the scientific work done mid year and obviously Climategate 2 and the aftermath . I want to emphasise though that it is the solid contributions from our guest authors and my co-mod and contributor Tim Channon which are the backbone of success here, not my flash in the pan PR stunts! For this reason, I have changed the site title at the top of the page to be simply: The Talkshop , though the url will remain as tallbloke.wordpress.com for reasons of the way we are embedded in the internets search systems. The domain I bought at thetalkshop.info currently does a simple web-forward to wordpress, but Ill be doing some nifty DNS work so that we can host currently unsupported filetypes such as excel spreadsheets for download.","It has been an exciting and eventful year at The Talkshop. This is reflected in the site stats, which show strong increases in traffic, especially around the Lisbon conference back in January , the scientific work done mid year and obviously Climategate 2 and the aftermath . I want to emphasise though that it is the solid contributions from our guest authors and my co-mod and contributor Tim Channon which are the backbone of success here, not my flash in the pan PR stunts! For this reason, I have changed the site title at the top of the page to be simply: The Talkshop , though the url will remain as tallbloke.wordpress.com for reasons of the way we are embedded in the internets search systems. The domain I bought at thetalkshop.info currently does a simple web-forward to wordpress, but Ill be doing some nifty DNS work so that we can host currently unsupported filetypes such as excel spreadsheets for download.",['0'],['0'],0,0
2033,1. It could burn a hole in your wallet,1. It could burn a hole in your wallet,['0'],['0'],0,0
869,"For those who cannot fly to Europe for care, death does not distinguish between rich and poor, Ugandan or foreign. The same terrible facilities and lack of medicine affect everyone. In a world with so much money, technology and knowledge, there is no reason this should continue, year after year.","For those who cannot fly to Europe for care, death does not distinguish between rich and poor, Ugandan or foreign. The same terrible facilities and lack of medicine affect everyone. In a world with so much money, technology and knowledge, there is no reason this should continue, year after year.",['0'],['0'],0,0
418,The crisis resulted when algae containing cyanobacteria – which can be toxic to animals and humans - surrounded Toledo’s water intake in Lake Erie. The toxin can form when large amounts of fertilizers and sewage from farms and urban areas run off the land and end up in waterways.,The crisis resulted when algae containing cyanobacteria – which can be toxic to animals and humans - surrounded Toledo’s water intake in Lake Erie. The toxin can form when large amounts of fertilizers and sewage from farms and urban areas run off the land and end up in waterways.,['0'],['0'],0,0
404,"Bill O'Reilly's nightly show on the Fox News Channel is viewed by at least 3.5 million people every night. So it was a treat to see Heartland Senior Fellow Horace Cooper as the program's first guest Wednesday night! O'Reilly asked Cooper to talk about violence in America's urban black communities, and why the policies of the left have done nothing to stop it. WATCH IT HERE","Bill O'Reilly's nightly show on the Fox News Channel is viewed by at least 3.5 million people every night. So it was a treat to see Heartland Senior Fellow Horace Cooper as the program's first guest Wednesday night! O'Reilly asked Cooper to talk about violence in America's urban black communities, and why the policies of the left have done nothing to stop it. WATCH IT HERE",['0'],['0'],0,0
1729,"There was no doubt that elevated O3 was bad for the plants, but the Burkey et al. team showed over and over that elevated CO2 restored the damage from caused by the ozone. From the perspective of the peanuts, O3 was definitely a pollutant while CO2 was a white knight ameliorating the damage from O3. If you are concerned about the quality of the nuts, relax as the researchers report Gas treatment effects on peanut market grade characteristics were small. No treatment effects were observed on the protein and oil contents of seeds. In their conclusions section, they reinforce the idea that elevated CO2 will increase yield without any decline in quality.","There was no doubt that elevated O3 was bad for the plants, but the Burkey et al. team showed over and over that elevated CO2 restored the damage from caused by the ozone. From the perspective of the peanuts, O3 was definitely a pollutant while CO2 was a white knight ameliorating the damage from O3. If you are concerned about the quality of the nuts, relax as the researchers report Gas treatment effects on peanut market grade characteristics were small. No treatment effects were observed on the protein and oil contents of seeds. In their conclusions section, they reinforce the idea that elevated CO2 will increase yield without any decline in quality.",['3.3.1'],['3.3.1'],2,2
1183,"If an agency concludes that its action will have no significant impacts, it issues a relatively brief Environmental Assessment that explains the basis for that decision. But if significant effects are likely, the agency must prepare a comprehensive and voluminous Environmental Impact Statement (EIS) that details every conceivable effect, runs to hundreds of pages, and requires thousands of bureaucrat-hours.","If an agency concludes that its action will have no significant impacts, it issues a relatively brief Environmental Assessment that explains the basis for that decision. But if significant effects are likely, the agency must prepare a comprehensive and voluminous Environmental Impact Statement (EIS) that details every conceivable effect, runs to hundreds of pages, and requires thousands of bureaucrat-hours.",['0'],['0'],0,0
1597,"The Congressional Research Service says average US households will pay almost $1,000 this winter just for heat. That's average: Alaska to Florida, Hawaii to New York. Northern states residents will pay double or triple that. Businesses, schools and hospitals will also be hammered.","The Congressional Research Service says average US households will pay almost $1,000 this winter just for heat. That's average: Alaska to Florida, Hawaii to New York. Northern states residents will pay double or triple that. Businesses, schools and hospitals will also be hammered.",['0'],['0'],0,0
1402,"Sex sells, as any ad guru or pornographer will tell you. So why not market global warming with nudity? The good news is that naked hippies is about the last gasp of the global warmers desperate attempts to save the hoax.","Sex sells, as any ad guru or pornographer will tell you. So why not market global warming with nudity? The good news is that naked hippies is about the last gasp of the global warmers desperate attempts to save the hoax.","['5.2.4', '5.3.2']",['5.3.2'],2,2
1250,"Tomorrow is the exhaustively-named House Select Committee on Energy Independence and Global Warming's hearing on high gas prices. According to Chairman Ed Markey, it would seem that the problem with high gas prices is the percentage of oil and gas that U.S. suppliers import from abroad. In the world of gas price demagoguery, of course, importing petroluem products from countries that produce them cheaper than we can isn't international commerce, it's ""dependence of foreign sources of energy,"" which makes it sound as though we were fueling Crystal River with plutonium smuggled out of Pakistan.","Tomorrow is the exhaustively-named House Select Committee on Energy Independence and Global Warming's hearing on high gas prices. According to Chairman Ed Markey, it would seem that the problem with high gas prices is the percentage of oil and gas that U.S. suppliers import from abroad. In the world of gas price demagoguery, of course, importing petroluem products from countries that produce them cheaper than we can isn't international commerce, it's ""dependence of foreign sources of energy,"" which makes it sound as though we were fueling Crystal River with plutonium smuggled out of Pakistan.",['0'],['0'],0,0
1000,"We are sorry, but there was a problem processing the reCAPTCHA response. Please contact us at webmaster@tnc.org or try again later.","We are sorry, but there was a problem processing the reCAPTCHA response. Please contact us at webmaster@tnc.org or try again later.",['0'],['0'],0,0
100,"An interview with General David Petraeus. as a black man I cannot be racist "" ""Just had a visit from two uniformed officers. Reason? My firearms renewal, but more significantly this blog. It seems that my crappy little corner of the blogosphere has come to the attention of the police, and they don't like it."" James Travers: Code Talker Comments are open for yours.","An interview with General David Petraeus. as a black man I cannot be racist "" ""Just had a visit from two uniformed officers. Reason? My firearms renewal, but more significantly this blog. It seems that my crappy little corner of the blogosphere has come to the attention of the police, and they don't like it."" James Travers: Code Talker Comments are open for yours.",['0'],['0'],0,0
61,"Fast forward to late 2017, and Whelchel and the Conservancy are training 250 professionals to work with the Massachusetts communities participating in the program, known as the Municipal Vulnerability Preparedness (MVP) program.","Fast forward to late 2017, and Whelchel and the Conservancy are training 250 professionals to work with the Massachusetts communities participating in the program, known as the Municipal Vulnerability Preparedness (MVP) program.",['0'],['0'],0,0
1350,"WSP Environment & Energy, a consultancy firm, estimated that a total of 7,500 businesses would miss the deadline.","WSP Environment & Energy, a consultancy firm, estimated that a total of 7,500 businesses would miss the deadline.",['0'],['0'],0,0
1629,"I suggest Congress and government agencies lead by example and adopt this rule of no air conditioning immediately. In fact, I'm sure it must be somewhere in Speaker Pelosi's Greening the Capitol initiative. Questions should be asked on the floor as to why they're running the AC this week.","I suggest Congress and government agencies lead by example and adopt this rule of no air conditioning immediately. In fact, I'm sure it must be somewhere in Speaker Pelosi's Greening the Capitol initiative. Questions should be asked on the floor as to why they're running the AC this week.",['0'],['0'],0,0
2061,"By Staff Writers, Climate Change Predictions.org, From National Observer, Aug 11. 2015","By Staff Writers, Climate Change Predictions.org, From National Observer, Aug 11. 2015",['0'],['0'],0,0
551,"We have high hopes that this year Maryland, a national leader in energy efficiency policy, will choose to lead the pack by adopting a clear goal and a model for delivering energy efficiency for all.","We have high hopes that this year Maryland, a national leader in energy efficiency policy, will choose to lead the pack by adopting a clear goal and a model for delivering energy efficiency for all.",['0'],['0'],0,0
791,"The National Oceanic and Atmospheric Administration reports about two major hurricanes, on average, make landfall somewhere along the Gulf or Atlantic coast every three years. The year with the most is 2005, when four major hurricanes made landfalls in the United States (Dennis, Katrina, Rita, and Wilma), with Wilma setting records as the strongest Atlantic hurricane on record. As Roy Spencer said, "" after the record-setting 2005 Atlantic hurricane season, with a whopping 27 named tropical storms, the bottom pretty much dropped out of hurricane activity since then.""","The National Oceanic and Atmospheric Administration reports about two major hurricanes, on average, make landfall somewhere along the Gulf or Atlantic coast every three years. The year with the most is 2005, when four major hurricanes made landfalls in the United States (Dennis, Katrina, Rita, and Wilma), with Wilma setting records as the strongest Atlantic hurricane on record. As Roy Spencer said, "" after the record-setting 2005 Atlantic hurricane season, with a whopping 27 named tropical storms, the bottom pretty much dropped out of hurricane activity since then.""",['1.7'],['1.7'],2,2
591,"Around the world, meanwhile, record low temperatures continue to make a mockery of global warming theories. While anecdotal, to be sure, Cairo, Egypt, just saw its first snowfall in more than 100 years . In the United States there have been thousands of new records for cold temperatures and snowfalls just in the month of December. In an extremely bizarre twist, some climate scientists have even started claiming that the freezing temperatures are actually more evidence of global warming.","Around the world, meanwhile, record low temperatures continue to make a mockery of global warming theories. While anecdotal, to be sure, Cairo, Egypt, just saw its first snowfall in more than 100 years . In the United States there have been thousands of new records for cold temperatures and snowfalls just in the month of December. In an extremely bizarre twist, some climate scientists have even started claiming that the freezing temperatures are actually more evidence of global warming.",['1.3'],['1.3'],2,2
651,"If the climate shifts hypothesisis correct, then the current flat trend in global surface temperatures may continue for another decade or two, with a resumption of warming at some point during mid-century. The amount of warming from greenhouse gases depends both on the amount of greenhouse gases that are emitted as well as the climate sensitivity to the greenhouse gases, both of which are associated with substantial uncertainties.","If the climate shifts hypothesisis correct, then the current flat trend in global surface temperatures may continue for another decade or two, with a resumption of warming at some point during mid-century. The amount of warming from greenhouse gases depends both on the amount of greenhouse gases that are emitted as well as the climate sensitivity to the greenhouse gases, both of which are associated with substantial uncertainties.",['5.1.1'],['1.4'],2,2
457,"And in all markets, the potential of DR hinges on utilities finding creative ways to incentivize customers to participate. In some markets, utilities have provided free programmable thermostats (including the Nest Learning Thermostat) to customers that agree to participate. In Texas, for instance, Austin Energy has introduced a pilot “time of use” pricing program that increases electric rates in the afternoon, but makes it FREE after midnight. So if drivers program their Volts or Teslas to charge while they’re asleep, they get to drive for free.","And in all markets, the potential of DR hinges on utilities finding creative ways to incentivize customers to participate. In some markets, utilities have provided free programmable thermostats (including the Nest Learning Thermostat) to customers that agree to participate. In Texas, for instance, Austin Energy has introduced a pilot “time of use” pricing program that increases electric rates in the afternoon, but makes it FREE after midnight. So if drivers program their Volts or Teslas to charge while they’re asleep, they get to drive for free.",['0'],['0'],0,0
537,"Meanwhile, the National Academy of Sciences and a number of large higher education associations and other academic interests are supporting Mann?s position with their own legal brief. Michael Halpern of the Union of Concerned Scientists (UCS) has written about relevant background for the scientific community. ?The court clearly understood the potential consequences of the actions it is being asked to take,? Halpern wrote after attending the Virginia Supreme Court?s January 2014 hearing, ?with multiple justices talking about how the interpretive standard they set will apply not just to this case but to tens of thousands of cases.?","Meanwhile, the National Academy of Sciences and a number of large higher education associations and other academic interests are supporting Mann's position with their own legal brief. Michael Halpern of the Union of Concerned Scientists (UCS) has written about relevant background for the scientific community. ?The court clearly understood the potential consequences of the actions it is being asked to take,? Halpern wrote after attending the Virginia Supreme Court's January 2014 hearing, ?with multiple justices talking about how the interpretive standard they set will apply not just to this case but to tens of thousands of cases.?",['0'],['0'],0,0
291,"HAYDEN: You should be nice to Moose, mister. He doesnt take disagreement well.","HAYDEN: You should be nice to Moose, mister. He doesnt take disagreement well.",['0'],['0'],0,0
138,Heres Dr David Jones from the Australian Bureau of Meteorology in 2008,Heres Dr David Jones from the Australian Bureau of Meteorology in 2008,['0'],['0'],0,0
1090,"The Buddhas of Bamiyan were blown up by the Taliban in 2001. In 2014, Greenpeace activists damaged the Nazca Lines. Greenpeace has often broken the law, but their actions have always been directed against those who harm the environment. They appealed to a moral authority higher than the legal ones. Nazca, however, was wanton vandalism. And it was not a solo action. Twenty people trampled over ancient heritage. The Greenpeace media team happily beamed pictures across the world. And when it emerged that the world was not amused, Greenpeace' response was closer to damage control and cover-up than remorse and cooperation with the Peru government.","The Buddhas of Bamiyan were blown up by the Taliban in 2001. In 2014, Greenpeace activists damaged the Nazca Lines. Greenpeace has often broken the law, but their actions have always been directed against those who harm the environment. They appealed to a moral authority higher than the legal ones. Nazca, however, was wanton vandalism. And it was not a solo action. Twenty people trampled over ancient heritage. The Greenpeace media team happily beamed pictures across the world. And when it emerged that the world was not amused, Greenpeace' response was closer to damage control and cover-up than remorse and cooperation with the Peru government.",['5.2.4'],['0'],2,0
1159,Probiotic is a method of introducing benign intestinal bacteria to provide good flora.,Probiotic is a method of introducing benign intestinal bacteria to provide good flora.,['0'],['0'],0,0
684,Education,Education,['0'],['0'],0,0
529,"The new trees’ canopies collectively intercept 20-30% of snow and rain that can never seep into the ground, and each additional tree’s roots suck 70 liters of moisture up out of the ground before runoff can feed thirsty creeks.","The new trees’ canopies collectively intercept 20-30% of snow and rain that can never seep into the ground, and each additional tree’s roots suck 70 liters of moisture up out of the ground before runoff can feed thirsty creeks.",['0'],['0'],0,0
865,"Nicolas D. Loris, ""Government Energy-Efficiency Programs Are Subsidy-Laden Paternalism,"" Heritage Foundation Backgrounder No. 2832, August 1, 2013, http://www.heritage.org/research/reports/2013/08/government-energy-efficiency-programs-are-subsidy-laden-paternalism.","Nicolas D. Loris, ""Government Energy-Efficiency Programs Are Subsidy-Laden Paternalism,"" Heritage Foundation Backgrounder No. 2832, August 1, 2013, http://www.heritage.org/research/reports/2013/08/government-energy-efficiency-programs-are-subsidy-laden-paternalism.",['4.3.1'],['4.3.1'],1,1
218,"Ocean heat content (sorry, can't find the link but the shift from using thermometers in pails dipped from ships to the ARGO floats caused a one time step change in ocean heat content measurements)","Ocean heat content (sorry, can't find the link but the shift from using thermometers in pails dipped from ships to the ARGO floats caused a one time step change in ocean heat content measurements)",['0'],['0'],0,0
